	word	frequency
0	which	5528265
1	their	4606432
2	other	3503203
3	about	3347361
4	would	2915654
5	there	4100851
6	these	2517149
7	first	2181393
8	where	1809365
9	after	1679664
10	could	1609731
11	those	1408077
12	place	1433915
13	think	1325110
14	child	1369162
15	right	1273133
16	group	1620028
17	local	1348073
18	offer	1176903
19	great	1343274
20	issue	1184210
21	under	1126888
22	start	1106735
23	world	1384646
24	study	1037107
25	order	1049464
26	still	954860
27	leave	946184
28	thing	949399
29	level	1032524
30	point	968382
31	large	925135
32	three	1024949
33	write	906028
34	small	909781
35	event	889239
36	range	845145
37	while	810548
38	every	788248
39	allow	787160
40	learn	762043
41	staff	789049
42	month	735487
43	since	718908
44	visit	732154
45	bring	686929
46	cover	682482
47	might	666603
48	again	669685
49	build	656613
50	value	678729
51	state	808797
52	early	677538
53	skill	632113
54	young	704713
55	price	703507
56	water	686189
57	apply	581440
58	power	639657
59	never	578554
60	often	567534
61	house	970933
62	until	557409
63	cause	557686
64	datum	544664
65	click	666707
66	carry	535926
67	woman	546061
68	above	527803
69	close	544094
70	today	540309
71	begin	498235
72	money	514438
73	party	635828
74	paper	552281
75	share	482779
76	model	508068
77	music	601616
78	image	489961
79	shall	469477
80	light	500492
81	whole	468861
82	major	496263
83	clear	468879
84	class	516641
85	claim	460137
86	least	454581
87	april	446434
88	below	457440
89	march	490536
90	agree	444550
91	night	481977
92	field	479066
93	short	451674
94	along	437396
95	force	483908
96	drive	452207
97	focus	442066
98	human	509724
99	check	423909
100	quite	405293
101	south	544865
102	sound	424440
103	stage	441787
104	email	564340
105	raise	388419
106	space	423095
107	north	518208
108	spend	366605
109	stand	363370
110	enjoy	368518
111	award	460924
112	david	363690
113	later	389965
114	speak	353157
115	final	367383
116	break	345990
117	reach	346704
118	story	362012
119	enter	345109
120	death	341664
121	third	357364
122	serve	322095
123	total	340877
124	guide	453095
125	thank	412829
126	royal	331303
127	heart	338181
128	wales	298536
129	plant	320930
130	exist	290488
131	basis	292592
132	sense	287914
133	table	348354
134	track	304146
135	among	283342
136	front	311847
137	train	299135
138	legal	337300
139	limit	281771
140	style	295435
141	phone	304731
142	refer	274381
143	title	314143
144	teach	275537
145	trust	468969
146	piece	271047
147	match	284286
148	entry	286890
149	trade	356767
150	round	287657
151	grant	311646
152	watch	291011
153	press	463504
154	court	440240
155	board	458510
156	video	308121
157	basic	274541
158	fully	248276
159	print	280577
160	store	262421
161	peter	246156
162	whose	242580
163	topic	239384
164	james	236507
165	speed	234969
166	prove	232598
167	occur	232464
168	treat	229510
169	pupil	229513
170	sport	286330
171	reply	231880
172	route	239316
173	hotel	367616
174	adult	250757
175	avoid	221666
176	jesus	217101
177	white	355834
178	extra	227374
179	floor	222521
180	happy	220948
181	owner	208270
182	black	336313
183	worth	205534
184	fight	200735
185	wrong	197993
186	waste	231605
187	cross	270188
188	voice	214225
189	score	190398
190	quote	202016
191	trial	195593
192	agent	209006
193	photo	210396
194	green	339297
195	catch	180575
196	crime	206348
197	blood	193784
198	drink	183945
199	album	184332
200	aware	171924
201	stock	200413
202	union	333884
203	scale	176046
204	scene	177090
205	block	177580
206	touch	174335
207	chair	174660
208	arise	160142
209	clean	170663
210	theme	167790
211	shape	164262
212	daily	216455
213	ideal	161077
214	error	162398
215	argue	153803
216	alone	156562
217	ready	156990
218	doubt	152254
219	brand	160225
220	judge	170012
221	forum	280792
222	stone	191367
223	prior	172442
224	river	239560
225	maybe	144489
226	smith	147441
227	seven	170516
228	chris	145794
229	joint	189940
230	cheap	155068
231	adopt	142734
232	dance	175669
233	throw	140027
234	earth	197433
235	radio	221661
236	quick	152604
237	movie	147402
238	guest	158770
239	times	135477
240	label	135200
241	faith	149342
242	stuff	137025
243	panel	182841
244	eight	141923
245	leeds	127987
246	truth	140043
247	cycle	143339
248	chief	217806
249	input	130242
250	glass	144220
251	peace	154431
252	ahead	128959
253	brief	136175
254	broad	132575
255	beach	157130
256	venue	141818
257	steve	124161
258	queen	137853
259	index	187385
260	count	136094
261	phase	142575
262	being	121265
263	dream	119880
264	frame	126889
265	stick	122332
266	media	136469
267	worry	117937
268	horse	145203
269	rural	160838
270	sleep	122070
271	heavy	122625
272	asset	125798
273	roman	116954
274	usual	114983
275	nurse	128367
276	sheet	126998
277	fresh	122506
278	equal	130032
279	admit	111487
280	india	112149
281	brown	156556
282	apart	111764
283	delay	110975
284	poker	122690
285	pilot	108658
286	birth	119201
287	brain	121790
288	china	114087
289	civil	164362
290	irish	106245
291	vital	109314
292	jones	106306
293	welsh	106237
294	draft	123475
295	dress	112129
296	youth	173695
297	shoot	103552
298	novel	107652
299	henry	101934
300	sight	103534
301	simon	100823
302	prise	98016
303	climb	99708
304	coach	114196
305	truly	95876
306	solve	94295
307	fruit	101512
308	grade	126474
309	chain	104035
310	lunch	101732
311	paint	98069
312	taste	94798
313	noise	99497
314	pound	93784
315	shift	94984
316	elect	89495
317	solid	95747
318	metal	99618
319	blair	87007
320	trend	88374
321	twice	86179
322	marry	86207
323	depth	88966
324	spain	86392
325	metre	84329
326	quiet	88712
327	prime	133525
328	bible	95778
329	relax	84783
330	query	88594
331	virus	88630
332	urban	114776
333	crowd	83595
334	coast	120086
335	links	84162
336	italy	81041
337	wheel	85967
338	brian	80027
339	enemy	81847
340	audio	99988
341	motor	100801
342	found	82140
343	layer	82978
344	scope	81899
345	paris	76591
346	guess	77361
347	japan	75533
348	chart	83391
349	color	83767
350	abuse	81679
351	tutor	91760
352	means	77238
353	cable	83280
354	essay	77593
355	mount	98672
356	scott	70832
357	plate	78259
358	moral	75676
359	minor	80886
360	linux	76492
361	empty	73064
362	proof	74120
363	audit	113013
364	proud	71711
365	sorry	82227
366	adapt	69061
367	pitch	72690
368	hence	68778
369	trace	71940
370	games	68214
371	actor	70481
372	split	72409
373	mouse	77474
374	women	67018
375	laugh	68099
376	steel	83611
377	slide	71130
378	mouth	73789
379	fixed	74175
380	equip	66188
381	upper	91966
382	sarah	66462
383	greek	65113
384	valid	67216
385	iraqi	65489
386	smoke	69174
387	tough	62740
388	array	65294
389	verse	65329
390	craft	73485
391	alter	62997
393	breed	64643
394	crash	66226
395	grand	97735
396	devon	60471
397	books	63351
398	newly	60365
399	angle	63193
400	fault	62418
401	blind	69826
402	essex	60007
403	plane	62704
404	amend	59767
405	smile	61993
406	plain	68335
407	latin	58556
408	buyer	70055
409	roger	57271
410	frank	63770
411	shock	60753
412	adobe	59141
413	canal	107805
414	harry	59020
415	suite	78571
416	funny	59559
417	steal	56109
418	maker	62404
419	boost	59407
420	rapid	62403
421	drama	76863
422	troop	57594
423	trail	73310
424	grass	62453
425	flood	62737
426	lewis	54632
427	spare	56050
428	colin	54047
429	organ	61556
430	sweet	66775
431	helen	52730
432	imply	52696
433	tower	99867
434	vocal	54532
435	inner	59155
436	crown	87244
437	spell	53252
438	mixed	56771
439	kevin	51438
440	alive	53873
441	asian	49970
442	guard	59272
443	alarm	53749
444	lucky	54564
445	blame	49876
446	crack	50932
447	sharp	59396
448	clock	56022
449	shell	67209
450	keith	49793
451	aside	48438
452	ratio	51286
453	tooth	49709
454	exact	48592
455	strip	51584
456	steam	59982
457	sugar	56073
458	lease	51075
459	magic	72038
460	bonus	55225
461	wound	49344
462	yield	47916
463	giant	56727
464	diary	65448
465	usage	51362
466	robin	49128
467	patch	49823
468	flash	72473
469	cease	45483
470	storm	55349
471	tight	46299
472	cloud	49996
473	thick	45900
474	cream	53530
475	alert	53718
476	lower	67692
477	habit	44151
478	loose	46378
479	fifth	52419
480	debut	44442
481	fleet	60497
482	sadly	42994
483	grace	58836
484	sheep	49666
485	glory	46979
486	knock	44289
487	bread	47357
488	taxis	44134
489	lords	42581
490	slope	43693
491	abbey	50316
492	trick	43980
493	fluid	45274
494	curve	44065
495	rider	46704
496	shake	43268
497	dozen	41501
498	mayor	52104
499	squad	47156
500	width	44288
